factor,IC_mean_train,ICIR_train,t_train,ICIR_test,t_test,ICIR_tr_半導體,ICIR_te_半導體,ICIR_tr_電子,ICIR_te_電子,ICIR_tr_生技,ICIR_te_生技,ICIR_tr_金融,ICIR_te_金融
gp_to_px,0.0704219398613647,0.8299685397094838,7.960778572193133,0.6986376821245017,6.130520780332681,0.4418036838033518,0.3706553644572645,0.8332263476371153,0.75459430610086,0.5305443928281708,0.5543541700363201,,
d_ppe_to_ta,-0.0306489689262151,-0.731460021249325,-5.712885393901215,0.0018042216055465,0.0155205011047375,-0.577066301339731,-0.113303494850638,-0.2456256245906456,-0.0917270782316121,-0.3731431966978202,0.1616100273957222,,
fcf_yield,0.0453171693632992,0.7057205925073236,6.351485332565912,0.591186144614222,5.187637365309447,0.3979405426690821,0.323319575611503,0.5666266561398676,0.4225320469519795,0.4918450216733966,0.4609230367827071,,
eps_to_px,0.0691028750841757,0.6821057556283224,6.542528570150702,0.6045470324890608,5.304878680595097,0.3282994547099365,0.4069355955392326,0.7557949425343901,0.4620402977716012,0.5629937756091867,0.5083414598463766,0.2789604013911259,0.3014007714238932
neg_vol_126,0.0807441869858564,0.6721296108582117,6.446840751011445,0.3608933315704175,3.166826132177711,0.3131837838655245,0.2581661974722219,0.7631522662365061,0.4174767815268422,0.532578219925974,0.5037757811584668,0.3543341020813502,0.0519314526125154
neg_vol_63,0.0788238975066736,0.6604708949189627,6.403502907416785,0.3737727699261076,3.2798427450785037,0.3473198322253437,0.2723893791413442,0.7539280343626781,0.4253791842137046,0.5573222074683863,0.5667545582524277,0.3008913178977295,0.0350795472559421
neg_vol_21,0.0722273635131445,0.6598954121702516,6.465628173682835,0.3852242965841778,3.380329483684341,0.3823834728839053,0.3286183924723346,0.7358183469342973,0.4110336279880116,0.5966131924940504,0.5971182933229305,0.2212021456898068,0.0087203492335703
ni_to_px,0.0743030685090722,0.6502218944899092,6.236709317485647,0.47256082903765,4.146704445681876,0.4056168353159239,0.2983638156061677,0.6873685605147818,0.4725123363911735,0.5009539666063216,0.4455399780087565,0.2726184993326535,0.141896456409928
d_net_margin,0.0455787613131147,0.6466956157730617,5.784221430478604,0.2620208520838173,2.2992236457896364,0.1253494144018947,0.0878367855654696,0.5375903961185249,0.2666727662363028,0.3489093524445297,-0.0233851797707543,0.4497594611582255,0.2278072322776396
g_ni_12,0.0394950131694053,0.6260175632743524,5.599271306360912,0.5464446371703385,4.79503223085113,0.0194070042832048,0.1930042504682592,0.4874894829946959,0.2728056888406347,0.4442339649759461,0.3038479256832204,0.4071374077731577,0.4117091439533503
quality_score,0.0495013260794422,0.6205332389780077,5.951945737508149,0.5017392854194141,4.402744361310931,0.2524067431042855,0.1812925717052829,0.5753892340480469,0.413419948222977,0.6270836891400932,0.3925502890627019,0.1638731057814478,0.1904159194981782
op_to_px,0.0676119689777681,0.6115672281661775,5.865946782928672,0.3989382217625262,3.5006686887357086,0.4204068110932938,0.3646672215477121,0.7715255714345708,0.4686775612348635,0.4973978438564538,0.4669684843896375,0.1671880869504256,0.0929388181712389
g_gp_3,0.0365827904930899,0.5796000297728758,5.1841002653322095,0.2575044031684149,2.1389922201652323,0.3727430805126183,0.1630626186661468,0.4685859817121738,0.3352353515118591,0.3745095679955488,0.0633268214217046,,
d_roe,0.0440851777574187,0.5765687712009125,4.789339913470852,0.314305790436954,2.7580221178354027,0.0505373918457024,0.1914138363732531,0.6571718474784253,0.2643581830078325,0.4670435446138377,-0.0186631762405164,0.3463741145671573,0.2533078387377683
recv_to_ta,0.0386497343414967,0.5611809204429329,5.050628283986396,0.4897042073653424,4.297136979986967,0.1395533101550693,0.2802537556280242,0.4354143516469861,0.2368402963684081,0.50381227073815,0.4357946689215606,,
g_eps_12,0.0357685301435153,0.5477434579362277,4.899166424704808,0.6223306434269636,5.460929233254432,-0.0033464907576388,0.2478135444422544,0.4955741737011858,0.2426449228189469,0.3919440067774649,0.4353539500012778,0.3507653494336562,0.43154448551182
g_gp_1,0.0315644721868988,0.5404849984819591,3.057444860449553,0.0715160711248062,0.3716084062376217,0.3443241230042334,-0.0932028395196126,0.403398649337195,0.1624760386951834,0.3449503991661847,0.0887147795835172,,
d_curr_to_ta,0.0425744732724946,0.535277863499223,4.180653759914812,0.0644084499077833,0.554062436052774,0.5563361420985456,0.0717307115608611,0.2491591053047741,0.1112045043902216,0.3973062138710376,-0.077416918580031,0.283162844556185,0.0619622819751781
cfo_yield,0.0375495802914109,0.5298746991222054,4.768872292099848,0.6637925195198864,5.824755719404293,0.3968882221264991,0.4287800476556207,0.5561179335309362,0.467221671984208,0.5144261439616377,0.4830007496552476,0.0135907990825678,0.2578956986482573
ni_to_rev,0.0604401484398298,0.5224053537899057,5.010736127305927,0.3877194776129307,3.4022246083517445,0.3275929424629423,0.0760692851125195,0.4559854361370371,0.2551171990641445,0.3758216053429992,0.3417214757056976,0.2953008012600092,0.28263831307514
net_margin,0.0604401484398298,0.5224053537899057,5.010736127305927,0.3877194776129307,3.4022246083517445,0.3275929424629423,0.0760692851125195,0.4559854361370371,0.2551171990641445,0.3758216053429992,0.3417214757056976,0.2953008012600092,0.28263831307514
d_roa,0.040082634024729,0.5145526012929564,4.274194916626642,0.2758091701958868,2.4202156461850794,0.0344015275098706,0.1724671070519734,0.6411650889344548,0.2584507944909284,0.4391574093480563,-0.0224004840686572,0.3046494376280521,0.2194618019228008
g_gp_12,0.0331357711535757,0.4848348402301137,4.336494642459137,0.1533795645779773,1.3459002169254617,0.0971341999543124,0.1809572235033034,0.4818637484385984,0.1590443194392322,0.5052088725791254,-0.0810471697306099,,
roe,0.0495266700059792,0.4835419160087977,4.351877244079179,0.3456643324762404,3.0331922074706803,0.2017937438699365,0.1434672567090764,0.4654453837314919,0.2657749737243978,0.5022803022517088,0.3125216351948582,0.2036925096944009,0.1905293168016804
g_mrev_12,0.0325998174832545,0.4708186562248418,4.315124261495458,0.1985450807080421,1.742226012504965,0.3686242277115805,0.4100509601090497,0.6219484639278265,0.2754217484566172,0.1393322044317386,-0.4936248962182851,0.1509779607856522,0.1585285566714786
op_margin,0.0551318409300696,0.4596369922253636,4.4086831531900845,0.5275858434859908,4.629546987881803,0.3533018620679015,0.1016723707256044,0.5327951027015423,0.2813749920071259,0.3826698177409159,0.3662851309781469,0.1541725056659291,0.4474280879630142
op_to_rev,0.0551318409300696,0.4596369922253636,4.4086831531900845,0.5275858434859908,4.629546987881803,0.3533018620679015,0.1016723707256044,0.5327951027015423,0.2813749920071259,0.3826698177409159,0.3662851309781469,0.1541725056659291,0.4474280879630142
d_gross_margin,0.027497280247585,0.4548870019923259,4.0686330341436925,0.2577103571382015,2.261399206149824,0.1201145476430991,0.0563692856322042,0.4933532559408517,0.3395219387559979,0.3213077092363526,0.1783030178541687,,
pretax_to_px,0.0700663966632204,0.4546309405542206,4.360666792366484,0.4956994403474184,4.349744935898802,0.4019410838664911,0.2935370276508754,0.7760297531315337,0.4748731266343899,0.6668822726261525,0.4554469907324976,0.2651895548204098,0.1789891940443365
g_ni_1,0.0255589950817359,0.4336339312003553,2.453003946434817,0.2058183926742604,1.0494720005023563,0.3542911215828228,-0.1344918393285152,0.1101248442102432,-0.1724204412502962,0.1414210035233293,0.2442479138797908,0.2982096909407996,0.3297379120949722
d_op_margin,0.0374968168544778,0.4123046533622979,3.687764929430341,0.1208575547206635,1.0605207386211175,0.1929160622235599,0.0735085974842691,0.4895696227923964,0.1735601074882913,0.1858787869265044,-0.1116777179952954,0.2240499402144395,0.1027413367487193
roa,0.0362835282016162,0.4024733433027549,3.622260089724794,0.2649193921407396,2.3246582315645585,0.2089540915148673,0.1044600281329406,0.4701775207800741,0.2477644834827538,0.5299140000931417,0.3100791241434658,-0.0618397102147117,0.1108422385595316
g_eps_1,0.0229918362767915,0.3887804860049445,2.266960311549408,0.0043206300375397,0.0224506522371813,0.3055634552298906,-0.228065482788623,0.0714608442883734,-0.1973777743047069,0.0959323834265116,0.2460875088559621,0.3073098500906101,0.0774147482779345
pretax_to_rev,0.0712534953692207,0.3786067837694958,3.631468697083581,0.3697681526342511,3.2447023709573286,0.2873555545575498,0.0777775758343798,0.4923866132303741,0.2563231616476364,0.4658574724985379,0.3408172750236627,0.3139493958646573,0.2536230822652962
retain_to_ta,0.0346133235921043,0.3747919928657298,3.373127935791568,0.3333621242589381,2.925240768477569,0.2213851162089313,0.1803426255223978,0.3636037273653062,0.2968899924088349,0.5474733335956304,0.3412160917512863,-0.0259840186040472,0.1589176615139512
g_eps_3,0.0254894845061542,0.3683607201765235,3.29471844222194,0.1916441003631808,1.5919154572642644,0.1587634753176736,0.1124694813402376,0.2834689875554084,0.1283707209849225,0.2575748275111689,0.3535046351642447,0.2336553610346797,0.0325117541313127
dist_high,0.0526630657673025,0.3630914778057999,3.463671943793634,0.3110078457197662,2.729082770390492,0.1469123050998923,0.1632306091174398,0.450221044970218,0.2741661037163229,0.3786545472615715,0.3906265735373817,0.1975855838221849,0.1836768426976827
intang_to_ta,-0.0210942562925543,-0.3489670872752471,-3.140703785477224,0.0865856186823844,0.7597857203982379,-0.1281716215294739,0.030598899125917,-0.2761909775477691,-0.0022055815460832,-0.4122855003599821,-0.1541305635954261,-0.0479204895495312,0.1739887427160502
d_cash_to_ta,0.0182686350638217,0.3464284800808503,2.7056929242762964,0.0425759336641886,0.3662520299273804,0.1776742646620322,-0.0236498993222849,0.0543280793379739,0.2382669078062808,0.35796372178924,0.0871541516336325,0.1179151749098604,-0.0450229453542261
inv_to_ta,0.0199380099762602,0.341884454738433,3.0769600926458973,0.2824512945090555,2.4785000504897665,-0.0751498368913261,0.0274293363487034,0.1956641609738755,0.2800450307946407,0.4821712323222152,0.2318762611672263,,
bp,0.036924645409147,0.3416761874212122,3.0750856867909104,0.4706576687865043,4.130004282254572,0.080481861856284,0.2670631687754913,0.3729549948375043,0.4621044815309179,0.5518478415112527,0.485659298525755,0.0281214168716508,0.1730359085546092
neg_debt_ratio,-0.030321953567703,-0.3392429618332926,-3.053186656499633,-0.2008478748347937,-1.7624329489587058,-0.049960476746351,-0.2280602220658785,0.0052101002921055,-0.1643594503767059,-0.3248331904908058,-0.2739416872538451,-0.2651602950882764,-0.0352776107713389
g_ni_3,0.0216225626431489,0.3356936963302614,3.002535698450545,0.2421947025196456,2.0118202954220323,0.1810303705446157,0.0832627990578701,0.2861186144342549,0.1374597538400441,0.2143883422440997,0.3661074854357207,0.1648905245170865,0.0863331352269547
mom_vol_adj,0.0361547124005761,0.3334705056468013,3.056307668323332,0.2331325362224298,2.045729702894226,0.1818048087195149,0.0786955705857163,0.2338483125573664,0.0187136889306326,0.3066602925273984,0.111943182274891,0.2011917262696193,0.2885047729712395
g_mrev_3,0.0202370829426262,0.3085401610644386,2.9754535590459623,0.1948823965821658,1.7100860897381334,0.2292909186711444,0.3755622642930408,0.3488735123245279,0.4092141434586351,-0.0192489019496961,-0.1829661050418448,0.198844036315461,0.0358653798021167
g_cfo_12,0.014595470841289,0.3076891999331989,2.7520558679726266,0.0563572340314235,0.4945327215976653,0.3739226248091597,0.0306391452273973,0.2261142415367098,0.0099779257641774,0.2199058450737006,0.2235080751908008,-0.0947546874348032,-0.0689143086762073
d_inv_turnover,0.0179367081635601,0.2945849136819931,2.447006073646505,0.0379843456396357,0.3333112802661965,0.0039155178775118,0.0438317244579477,0.2116907603838369,-0.1401113945223375,0.4716594991716288,0.107247717442523,,
g_rev_12,0.0219037035329261,0.2935464392359912,2.625559170738751,0.0493747580676731,0.4332617436799338,0.0328449574938251,0.0940305393700337,0.23200926025854,-0.0911257422036499,0.1845389179171535,-0.3520919740425061,0.2159735509675912,0.1835829296190645
current_ratio,-0.027544029965937,-0.2932237918094956,-2.6390141262854603,-0.3807152836000213,-3.340763055326079,-0.0472052315671632,-0.2518896996496709,0.0630000689977994,-0.0738147476122739,-0.3587591829263294,-0.3426625455697921,-0.1925276088693483,-0.1648524077900237
g_rev_3,0.0188431556297876,0.281154363085759,2.514721072121659,0.1945782030000823,1.6162879442442013,0.2773818781656326,0.1625841577616254,0.2248459747108171,0.2637448200919929,0.2915372480752704,-0.0112439469837744,0.0240158680584947,0.0987555738678135
neg_accruals,0.0158215177726585,0.2687095883105982,2.4183862947953845,0.4809185059180767,4.220042762668951,0.2347480684605228,0.2625060137202224,0.1149682409716055,0.2532076858244138,0.2053094033264293,0.4535406922220173,0.0417549415458314,0.1925409588955077
capex_to_rev,-0.0194535771563755,-0.257615039735148,-2.4709566568825627,-0.0548436275664046,-0.4812508787705975,0.1258121307053952,0.1350897210524892,-0.2843318924170838,-0.1119270009165275,-0.3540602560349572,-0.2057682598150105,,
d_intang_to_ta,0.0148813858687615,0.2463431718617614,1.9240016781951392,0.0410772399590604,0.3533597792001985,0.3569509934161743,0.1076297910282799,-0.1392716646242379,-0.0835910815743927,0.1198296875303978,0.1209585599398882,0.1176163672366019,-0.0313465888412506
g_op_12,0.0190416204752462,0.2353868688985751,2.1053641594721806,0.4788501041831869,4.201892611106473,-0.1030307915180846,0.2463888981819748,0.3604383368183314,0.2325624879404599,0.3356487472841456,0.2865774940776322,0.1341191649275673,0.2834145736124646
inv_turnover,0.0148634712489399,0.2342965293388356,2.1086687640495203,0.2398055644194285,2.104285287678953,0.0818272868565575,0.1717651596751821,0.2373250113925372,-0.048520988520328,0.1628300907008101,0.2351980326688437,,
mom_12_1,0.0245498587590694,0.2222540684786606,2.036992184630722,0.131936994852418,1.1577424312095062,0.1152536556541417,0.0680130914796761,0.1676224301676064,-0.0698887618961095,0.2863547790385423,0.0553664368042344,0.0632488827026947,0.1951252718377982
mom_1m,-0.0229220963855169,-0.2118974712032061,-2.065321074002729,-0.1598200722429393,-1.402415442322229,-0.2634103211574486,-0.2600503779241561,-0.138109833663761,-0.2625432789946088,-0.2193342365259181,-0.2855974218958272,-0.0450856097817515,0.1283422007139903
neg_asset_growth,-0.0151441534591298,-0.2113507472627915,-1.6507021053118465,0.0780984592994845,0.6718283497490559,0.0516234810216998,0.177883267376723,-0.0336243413931288,0.072055708204571,-0.042223759716153,0.1666588684333406,-0.3046861729315951,-0.0881150358376142
cash_to_ta,-0.0153738548917826,-0.2109664845802691,-1.8986983612224215,-0.0630753937051169,-0.5534843334831385,0.1313023335243653,-0.0767381939607458,0.0776223594280989,0.0839826024209789,-0.3345447603446265,-0.2069602747404482,-0.1785900001424827,0.031306613288208
mom_9_1,0.0225281258702693,0.206859867692043,1.9294603968354864,0.212069423237802,1.8609016365665003,0.1059976427615229,0.0825901193147852,0.1860983075495202,0.0257987550243055,0.3372731324478535,0.0568739568176353,-0.0020548114746867,0.2807756360284146
cfo_to_ni,0.0116142681365311,0.19897576453967,1.9085084879091971,0.3660060148933864,3.211689746260777,0.1672855281244734,0.1499189027890135,0.1330138131773265,0.21712927201437,0.0614644139986148,0.1672381065541912,0.0833480519571296,0.2275306032671308
curr_to_ta,0.0145177165869546,0.194512687355234,1.750614186197106,0.09012208696538,0.7908181036386653,-0.0333961678135951,-0.1521208942224626,0.3525041776565472,0.2137818128492182,-0.2233906621577958,-0.262742846583759,0.2636885946348246,0.1984657818816222
d_asset_turnover,0.0133917153863821,0.1817535026626471,1.5097579823864884,0.1954865534458149,1.7153875447010525,0.0258615725097295,0.2515264979505838,0.2490545019597703,-0.0994471810227852,0.1169929562142299,-0.1277182809391389,0.0909176061062829,0.2026223912332378
d_recv_to_ta,0.0080733564547381,0.1762312423464989,1.3764100034213704,0.0322341900785817,0.2772889877756381,-0.0038014195321306,0.1348638761206127,0.3243816534884481,-0.0452564513837718,0.0971167829062381,-0.097063458818437,,
ppe_to_ta,0.0091107252737237,0.1715104379402753,1.5435939414624775,0.2636634368343497,2.3136372684788307,0.1473196608444323,0.2242237176808304,-0.235779235932001,-0.0865372490285595,0.2687829105346075,0.2844639473970757,,
d_retain_to_ta,0.0117369970702206,0.1570653400794038,1.2267195214513318,0.0380916553472373,0.327676809257019,0.1188553842297105,-0.0716195278976582,0.0765360082452451,-0.0223102422074791,0.1829494016715471,-0.025674068647043,0.0298583203487978,0.1044994384046017
mom_6_1,0.0170471612837811,0.152290684046338,1.4447562840344872,0.2229318917694,1.95621941109044,0.0910470900161126,0.0749864906574078,0.2457509987601076,-0.0010243637778277,0.2657597732266253,0.0879000957452379,-0.0699303539704092,0.2766772699680834
d_inv_to_ta,-0.0070803564653648,-0.1495534258634471,-1.1680495958807176,-0.043968377855782,-0.3782302877796711,0.0533925573071724,0.1474987434260977,0.0038490721863769,0.1053961222545056,-0.2914919759585614,-0.2987217214263854,,
mom_12m,0.0151839508738893,0.1326705170589419,1.2159453738230632,0.0335614828614824,0.2945008168975792,-0.0074084093329238,-0.0193230895601698,0.0801483455680696,-0.1673774956370677,0.2039936702881082,-0.0789963550093948,0.0728985371793888,0.2063889156138766
recv_turnover,-0.0078453702034773,-0.1319101174119938,-1.187191056707945,-0.1093743027099806,-0.9597556111759258,-0.1548461382841807,-0.1253776519899389,0.0204407542390998,0.0317645583283035,-0.0949428025568546,-0.0924453693558545,,
